Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
0,-,-,-,Median salary for alumni with 0-5 years experience,Median salary for alumni with 10+ years experience,% alumni who say their work makes the world a better place
1,1,Petroleum Engineering,Bachelors,"$93,200","$187,300",67%
2,2,Operations Research & Industrial Engineering,Bachelors,"$84,800","$170,400",28%
3,3,Electrical Engineering & Computer Science (EECS),Bachelors,"$108,500","$159,300",46%
4,4,Interaction Design,Bachelors,"$68,300","$155,800",55%
5,5,Public Accounting,Bachelors,"$59,800","$147,700",47%
6,6,Operations Research,Bachelors,"$83,500","$147,400",54%
7,7,Applied Economics and Management,Bachelors,"$66,100","$146,400",67%
8,8,Business Computing (BC),Bachelors,"$73,000","$143,600",-
9,9,Actuarial Mathematics,Bachelors,"$64,300","$143,400",51%
10,10,Electrical Power Engineering,Bachelors,"$76,100","$142,600",68%
11,11,Information & Computer Science,Bachelors,"$58,600","$140,900",62%
12,12,Aeronautics & Astronautics,Bachelors,"$77,600","$139,600",56%
13,13,Systems Engineering,Bachelors,"$77,700","$139,200",53%
14,14,Econometrics,Bachelors,"$64,200","$139,000",35%
15,15,Pharmacy,Bachelors,"$68,600","$138,700",78%
16,16,Aerospace Studies,Bachelors,"$55,800","$136,600",-
17,17,Building Science,Bachelors,"$53,800","$135,900",53%
18,17,Chemical Engineering,Bachelors,"$76,900","$135,900",55%
19,19,Cognitive Science,Bachelors,"$68,700","$135,200",42%
20,20,Actuarial Science,Bachelors,"$67,700","$134,400",43%
21,21,Political Economy,Bachelors,"$65,100","$133,500",29%
22,22,Computer Systems Engineering,Bachelors,"$79,000","$133,200",51%
23,23,Electrical & Computer Engineering (ECE),Bachelors,"$78,100","$131,600",49%
24,24,Computer Science (CS) & Engineering,Bachelors,"$79,400","$131,300",44%
25,24,Marine Engineering,Bachelors,"$79,900","$131,300",60%
0,26,Aeronautical Engineering,Bachelors,"$74,700","$131,100",66%
1,27,Computer Engineering (CE),Bachelors,"$79,000","$131,000",46%
2,28,Naval Architecture & Marine Engineering,Bachelors,"$74,400","$130,700",49%
3,29,Entrepreneurship & Marketing,Bachelors,"$51,400","$129,800",45%
4,30,Corporate Accounting & Finance,Bachelors,"$65,200","$129,700",55%
5,31,Mechatronics,Bachelors,"$72,800","$129,600",48%
6,32,Nuclear Engineering,Bachelors,"$76,400","$129,400",62%
7,33,Electrical Engineering (EE),Bachelors,"$75,600","$127,700",54%
8,33,Foreign Affairs,Bachelors,"$54,800","$127,700",36%
9,35,Marine Transportation Management,Bachelors,"$71,100","$127,500",-
10,36,Mechanical & Aeronautical Engineering,Bachelors,"$70,900","$126,900",60%
11,37,Welding Engineering,Bachelors,"$81,000","$126,600",56%
12,38,Instrumentation & Control Engineering,Bachelors,"$73,100","$126,400",-
13,39,Computational & Applied Mathematics,Bachelors,"$75,500","$126,000",45%
14,40,Electrical & Electronics Engineering (EEE),Bachelors,"$74,700","$125,800",56%
15,41,Aerospace Engineering,Bachelors,"$74,300","$125,700",55%
16,42,Astronomy,Bachelors,"$66,600","$125,400",47%
17,42,Optical Science & Engineering,Bachelors,"$71,000","$125,400",-
18,42,Quantitative Business Analysis,Bachelors,"$74,000","$125,400",37%
19,45,Computer Science (CS) & Mathematics,Bachelors,"$70,500","$125,100",43%
20,46,Industrial & Systems Engineering,Bachelors,"$73,100","$124,800",48%
21,47,Economics and Mathematics,Bachelors,"$68,200","$124,100",35%
22,48,Biomedical Engineering (BME),Bachelors,"$71,300","$123,600",72%
23,48,Managerial Economics,Bachelors,"$65,200","$123,600",41%
24,50,Computer Science (CS),Bachelors,"$75,100","$123,400",42%
0,50,Physics & Astronomy,Bachelors,"$56,500","$123,400",36%
1,52,Petroleum Land Management,Bachelors,"$59,300","$123,100",-
2,52,Bioscience,Bachelors,"$49,200","$123,100",-
3,54,Electronics & Communications Engineering,Bachelors,"$67,400","$122,900",51%
4,55,Control Engineering,Bachelors,"$69,700","$122,800",61%
5,56,Pharmacology,Bachelors,"$57,700","$122,700",-
6,57,Business Analysis,Bachelors,"$63,200","$122,300",46%
7,58,Aeronautical Science & Engineering,Bachelors,"$56,000","$122,200",50%
8,58,Metallurgical Engineering,Bachelors,"$81,800","$122,200",61%
9,60,Engineering Science,Bachelors,"$67,900","$122,100",45%
10,61,Applied Mathematics,Bachelors,"$68,300","$122,000",40%
11,62,Chemical & Biomolecular Engineering,Bachelors,"$76,800","$121,900",48%
12,63,Materials Science,Bachelors,"$67,100","$121,800",-
13,64,Engineering,Bachelors,"$69,900","$121,700",59%
14,65,Ocean Engineering (OE),Bachelors,"$69,400","$121,400",51%
15,66,Bioengineering (BioE),Bachelors,"$70,900","$121,300",67%
16,67,Aeronautical/Aerospace Engineering Technology,Bachelors,"$76,900","$121,200",53%
17,68,Integrated Science & Technology,Bachelors,"$65,200","$121,100",56%
18,69,Operations Management & Information Systems,Bachelors,"$66,100","$120,900",38%
19,70,Software Engineering,Bachelors,"$75,000","$120,000",43%
20,71,Physics,Bachelors,"$65,900","$119,700",48%
21,72,Quantitative Economics,Bachelors,"$65,000","$119,600",43%
22,73,Computer & Information Science,Bachelors,"$63,600","$119,500",55%
