Release_Date,Rank,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,USD_Profit,Decade
1915-08-02,5293,The Birth of a Nation,110000,11000000,10000000,10890000,1910
1916-05-09,5140,Intolerance,385907,0,0,-385907,1910
1916-12-24,5230,"20,000 Leagues Under the Sea",200000,8000000,8000000,7800000,1910
1920-09-17,5299,Over the Hill to the Poorhouse,100000,3000000,3000000,2900000,1920
1925-01-01,5222,The Big Parade,245000,22000000,11000000,21755000,1920
1925-12-30,4250,Ben-Hur,3900000,9000000,9000000,5100000,1920
1927-12-08,4630,Wings,2000000,0,0,-2000000,1920
1929-01-02,5141,The Broadway Melody,379000,4358000,2800000,3979000,1920
1930-01-01,4240,Hell's Angels,4000000,0,0,-4000000,1930
1931-12-31,5043,Mata Hari,558000,900000,900000,342000,1930
1933-07-04,5017,King Kong,672000,10000650,10000000,9328650,1930
1933-09-02,5234,She Done Him Wrong,200000,2000000,2000000,1800000,1930
1933-09-03,5120,42nd Street,439000,2281000,1438000,1842000,1930
1934-01-01,5154,It Happened One Night,325000,2500000,2500000,2175000,1930
1935-06-09,5025,Top Hat,609000,3202000,1782000,2593000,1930
1936-05-02,4738,Modern Times,1500000,165049,163245,-1334951,1930
1936-06-26,4768,San Francisco,1300000,5273000,2868000,3973000,1930
1936-10-20,4814,"Charge of the Light Brigade, The",1200000,0,0,-1200000,1930
1937-12-21,4756,Snow White and the Seven Dwarfs,1488000,184925485,184925485,183437485,1930
1938-01-01,4570,Alexander's Ragtime Band,2000000,4000000,4000000,2000000,1930
1938-01-01,4693,You Can't Take It With You,1644000,4000000,4000000,2356000,1930
1939-01-01,4712,Mr. Smith Goes To Washington,1500000,9000000,9000000,7500000,1930
1939-08-25,4447,The Wizard of Oz,2777000,33754967,33711566,30977967,1930
1939-12-15,4248,Gone with the Wind,3900000,390525192,198680470,386625192,1930
1940-01-01,4556,Boom Town,2000000,9172000,9172000,7172000,1940
1940-01-01,4783,Rebecca,1288000,6000000,6000000,4712000,1940
1940-11-13,4524,Fantasia,2280000,83320000,83320000,81040000,1940
1941-10-28,4789,How Green Was My Valley,1250000,0,0,-1250000,1940
1942-08-13,4969,Bambi,858000,268000000,102797000,267142000,1940
1942-11-16,5283,Cat People,134000,8000000,4000000,7866000,1940
1943-01-23,4839,Casablanca,1039000,10462500,10462500,9423500,1940
1943-12-24,4457,A Guy Named Joe,2627000,5363000,5363000,2736000,1940
1944-01-01,4515,Bathing Beauty,2361000,3500000,3500000,1139000,1940
1944-01-08,3949,Wilson,5200000,2000000,2000000,-3200000,1940
1945-01-01,4530,The Valley of Decision,2160000,9132000,9132000,6972000,1940
1945-01-01,4785,The Lost Weekend,1250000,11000000,11000000,9750000,1940
1945-10-31,4716,Spellbound,1500000,7000000,7000000,5500000,1940
1946-01-01,4327,It's a Wonderful Life,3180000,9576159,6600000,6396159,1940
1946-01-01,4545,Notorious,2000000,24464742,24464742,22464742,1940
1946-11-21,4533,The Best Years of Our Lives,2100000,23600000,23600000,21500000,1940
1946-12-31,3845,Duel in the Sun,6000000,20400000,20400000,14400000,1940
1947-01-01,4557,Gentleman's Agreement,2000000,7800000,7800000,5800000,1940
1948-01-01,4260,The Pirate,3700000,2956000,2956000,-744000,1940
1948-01-01,4361,Red River,3000000,9012000,9012000,6012000,1940
1949-01-01,4695,She Wore a Yellow Ribbon,1600000,5400000,5400000,3800000,1940
1949-01-01,4857,Sands of Iwo Jima,1000000,7800000,7800000,6800000,1940
1950-02-15,4434,Cinderella,2900000,263591415,85000000,260691415,1950
1950-05-17,4255,Annie Get Your Gun,3768785,8000000,8000000,4231215,1950
1951-02-23,3593,Quo Vadis?,8250000,30022000,30000000,21772000,1950
1951-03-07,4797,Strangers on a Train,1200000,7000000,7000000,5800000,1950
1951-07-28,4419,Alice in Wonderland,3000000,0,0,-3000000,1950
1951-09-18,4666,A Streetcar Named Desire,1800000,8000000,8000000,6200000,1950
1951-09-24,4517,Show Boat,2300000,11000000,11000000,8700000,1950
1952-01-01,5009,High Noon,730000,8000000,8000000,7270000,1950
1952-10-01,4166,The Greatest Show on Earth,4000000,36000000,36000000,32000000,1950
1952-10-04,4468,Singin' in the Rain,2540000,7200000,7200000,4660000,1950
1953-01-21,4788,Niagara,1250000,2500000,2500000,1250000,1950
1953-05-02,4162,Peter Pan,4000000,87400000,87400000,83400000,1950
1953-05-08,4692,From Here to Eternity,1650000,30500000,30500000,28850000,1950
1953-06-13,5227,"The Beast from 20,000 Fathoms",210000,5000000,5000000,4790000,1950
1953-09-16,3969,The Robe,5000000,36000000,36000000,31000000,1950
1953-10-04,5018,House of Wax,658000,23800000,23800000,23142000,1950
1954-01-01,3999,The Egyptian,5000000,15000000,15000000,10000000,1950
1954-07-28,4959,On the Waterfront,910000,9600000,9600000,8690000,1950
1954-12-23,3973,"20,000 Leagues Under the Sea",5000000,28200000,28200000,23200000,1950
1955-03-10,4798,The Trouble With Harry,1200000,7000000,7000000,5800000,1950
1955-12-31,4705,The King’s Thief,1577000,0,0,-1577000,1950
1956-01-01,3853,War and Peace,6000000,12500000,12500000,6500000,1950
1956-01-01,4119,Moby Dick,4500000,10400000,10400000,5900000,1950
1956-01-01,4177,Trapeze,4000000,14400000,14400000,10400000,1950
1956-01-01,4856,Love Me Tender,1000000,9000000,9000000,8000000,1950
1956-02-16,4310,Carousel,3380000,3220,0,-3376780,1950
1956-05-10,3020,The Ten Commandments,13500000,80000000,80000000,66500000,1950
1956-10-17,3835,Around the World in 80 Days,6000000,42000000,42000000,36000000,1950
1956-11-19,5067,Shichinin no samurai,500000,271736,271736,-228264,1950
1956-12-01,4455,Diane,2660000,0,0,-2660000,1950
1956-12-23,4804,The Wrong Man,1200000,2000000,2000000,800000,1950
1957-01-01,4015,A Farewell To Arms,5000000,11014685,11000000,6014685,1950
1957-04-13,5152,12 Angry Men,340000,0,0,-340000,1950
1957-12-18,4337,The Bridge on the River Kwai,3000000,33300000,33300000,30300000,1950
1958-09-20,4348,Cat on a Hot Tin Roof,3000000,17570324,17570324,14570324,1950
1959-01-01,4016,Solomon and Sheba,5000000,11000000,11000000,6000000,1950
1959-01-01,4274,The Nun's Story,3500000,12800000,12800000,9300000,1950
1959-03-29,4440,Some Like it Hot,2883848,25000000,25000000,22116152,1950
1959-11-18,2802,Ben-Hur,15000000,73000000,73000000,58000000,1950
1960-01-01,4171,Exodus,4000000,21750000,21750000,17750000,1960
1960-01-01,4347,The Apartment,3000000,24600000,18600000,21600000,1960
1960-01-01,4357,Elmer Gantry,3000000,10400000,10400000,7400000,1960
1960-07-10,3151,Spartacus,12000000,60000000,30000000,48000000,1960
1960-10-24,3185,The Alamo,12000000,7900000,7900000,-4100000,1960
1961-01-01,4189,The Misfits,4000000,8200000,8200000,4200000,1960
1961-01-01,4359,Judgment at Nuremberg,3000000,10000000,10000000,7000000,1960
1961-01-01,4436,Pocketful of Miracles,2900000,5000000,5000000,2100000,1960
1961-09-25,4558,The Hustler,2000000,7600000,7600000,5600000,1960
1961-10-18,3834,West Side Story,6000000,43700000,43700000,37700000,1960
1962-01-01,4322,The Man Who Shot Liberty Valance,3200000,8000000,8000000,4800000,1960
1962-01-01,4555,Lolita,2000000,9250000,9250000,7250000,1960
